/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 5783 at position 23 (collision #398)
🌟 COLLISION! Prime 5791 at position 31 (collision #399)
🌟 COLLISION! Prime 5801 at position 41 (collision #400)
🌟 COLLISION! Prime 5807 at position 47 (collision #401)
🌟 COLLISION! Prime 5813 at position 53 (collision #402)
🌟 COLLISION! Prime 5821 at position 61 (collision #403)
🌟 COLLISION! Prime 5827 at position 67 (collision #404)
🌟 COLLISION! Prime 5839 at position 79 (collision #405)
🌟 COLLISION! Prime 5843 at position 83 (collision #406)
🌟 COLLISION! Prime 5849 at position 89 (collision #407)
🌟 COLLISION! Prime 5851 at position 91 (collision #408)
🌟 COLLISION! Prime 5857 at position 97 (collision #409)
🌟 COLLISION! Prime 5861 at position 101 (collision #410)
🌟 COLLISION! Prime 5867 at position 107 (collision #411)
🌟 COLLISION! Prime 5869 at position 109 (collision #412)
🌟 COLLISION! Prime 5879 at position 119 (collision #413)
🌟 COLLISION! Prime 5881 at position 121 (collision #414)
🌟 COLLISION! Prime 5897 at position 137 (collision #415)
🌟 COLLISION! Prime 5903 at position 143 (collision #416)
🌟 COLLISION! Prime 5923 at position 163 (collision #417)
🌟 COLLISION! Prime 5927 at position 167 (collision #418)
🌟 COLLISION! Prime 5939 at position 179 (collision #419)
🌟 COLLISION! Prime 5953 at position 193 (collision #420)
🌟 COLLISION! Prime 5981 at position 221 (collision #421)
🌟 COLLISION! Prime 5987 at position 227 (collision #422)
🌟 COLLISION! Prime 6007 at position 247 (collision #423)
🌟 COLLISION! Prime 6011 at position 251 (collision #424)
🌟 COLLISION! Prime 6029 at position 269 (collision #425)
🌟 COLLISION! Prime 6037 at position 277 (collision #426)
🌟 COLLISION! Prime 6043 at position 283 (collision #427)
🌟 COLLISION! Prime 6047 at position 287 (collision #428)
🌟 COLLISION! Prime 6053 at position 293 (collision #429)
🌟 COLLISION! Prime 6067 at position 307 (collision #430)
🌟 COLLISION! Prime 6073 at position 313 (collision #431)
🌟 COLLISION! Prime 6079 at position 319 (collision #432)
🌟 COLLISION! Prime 6089 at position 329 (collision #433)
🌟 COLLISION! Prime 6091 at position 331 (collision #434)
🌟 COLLISION! Prime 6101 at position 341 (collision #435)
🌟 COLLISION! Prime 6113 at position 353 (collision #436)
🌟 COLLISION! Prime 6131 at position 11 (collision #437)
🌟 COLLISION! Prime 6133 at position 13 (collision #438)
🌟 COLLISION! Prime 6143 at position 23 (collision #439)
🌟 COLLISION! Prime 6151 at position 31 (collision #440)
🌟 COLLISION! Prime 6163 at position 43 (collision #441)
🌟 COLLISION! Prime 6173 at position 53 (collision #442)
🌟 COLLISION! Prime 6197 at position 77 (collision #443)
🌟 COLLISION! Prime 6199 at position 79 (collision #444)
🌟 COLLISION! Prime 6203 at position 83 (collision #445)
🌟 COLLISION! Prime 6211 at position 91 (collision #446)
🌟 COLLISION! Prime 6217 at position 97 (collision #447)
🌟 COLLISION! Prime 6221 at position 101 (collision #448)
🌟 COLLISION! Prime 6229 at position 109 (collision #449)
🌟 COLLISION! Prime 6247 at position 127 (collision #450)
🌟 COLLISION! Prime 6257 at position 137 (collision #451)
🌟 COLLISION! Prime 6263 at position 143 (collision #452)
🌟 COLLISION! Prime 6269 at position 149 (collision #453)
